vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency
2,0,1,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.78625,2.2376590921878816
4,0,1,1,0,0,1,1,0,0,1,0,2,1,1,1,1,0,1,1,0,1,-1,69.66875,2.775259127378464
4,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,69.57749999999999,2.35163343000412
2,1,2,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.38125,2.032360602617264
4,1,0,1,1,0,0,2,0,1,1,0,2,0,0,0,0,0,1,1,1,1,-1,73.2325,3.6170886170864107
2,1,2,0,1,1,0,2,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.27125000000001,2.5216859829425813
2,0,0,0,0,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.21875,1.9990788197517395
2,1,0,1,1,0,0,2,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.165,2.2525897059440614
2,1,2,0,1,1,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.70125,2.5442135775089265
2,1,1,1,1,0,0,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.15875,2.2611084773540497
2,1,2,0,0,1,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.54375,2.210077271223068
4,0,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0,2,1,1,1,1,-1,71.075,2.923426293849945
2,0,1,0,1,0,1,2,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.268750000000004,1.9568999586105347
4,1,0,1,1,1,0,2,1,0,0,0,2,1,0,0,0,0,0,1,1,1,-1,73.6175,3.544614228963852
4,1,2,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,-1,75.13,3.4849118421077727
4,0,2,0,1,1,0,2,1,1,1,1,2,0,1,0,0,1,0,0,0,1,-1,70.76625,2.9656126499176025
4,0,2,1,1,1,0,2,1,1,1,0,1,0,1,1,0,1,1,0,0,0,-1,71.85875,3.43766631436348
2,0,1,0,0,1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.86999999999999,2.1062714862823486
4,0,0,1,0,1,1,1,1,0,0,0,2,1,1,1,0,0,1,1,1,0,-1,70.17,3.190935451030731
2,0,1,1,1,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.09124999999999,2.4073150742053984
4,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,-1,70.39875,2.7774835393428803
4,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,2,1,0,0,0,-1,70.68625,2.629144523859024
2,1,0,0,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.037499999999994,2.5123159267902375
2,0,1,1,0,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.0775,2.0328275458812715
4,1,2,1,1,0,0,0,0,1,1,0,2,1,1,1,0,1,0,1,0,0,-1,72.61375,3.5465721588134764
2,1,0,0,1,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58.26,2.6538688764572145
2,0,0,1,1,1,1,2,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.455,2.2588452973365785
2,1,2,1,1,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.6675,2.520345266819
4,1,0,1,0,0,1,2,0,0,0,1,2,0,0,0,0,1,0,0,0,1,-1,72.80000000000001,2.593780934333801
2,0,1,1,1,0,1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.3575,1.9889732973575591
4,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1,71.0775,3.572818895816803
2,1,0,1,1,1,1,2,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.015,2.5180574514865874
2,0,0,0,0,1,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.5925,1.9668649508953095
2,0,2,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.801249999999996,1.8411061203479766
4,0,1,1,0,0,0,2,1,0,0,1,1,0,0,0,0,2,1,1,0,1,-1,69.86375,2.196657984972
4,1,2,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,-1,73.78,2.8035388767719267
4,0,1,0,1,1,0,0,0,1,1,0,2,1,1,1,0,1,1,0,1,0,-1,72.2275,3.537784377336502
2,0,1,1,0,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.81125,2.198787320137024
4,0,0,0,1,1,0,2,1,1,0,0,2,0,0,0,1,0,0,1,0,0,-1,69.91875,2.5471778049468994
4,0,1,1,1,1,1,2,1,1,1,0,0,0,1,1,1,0,1,0,0,1,-1,71.4125,3.407644072532654
2,1,0,1,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.56,2.228435629606247
4,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2,1,0,0,0,-1,68.59875,2.1907077946662903
2,0,0,0,1,0,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.15625000000001,2.2359866516590117
4,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,-1,68.7525,2.738522383213043
2,0,2,0,0,0,1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.765,1.8103626983165741
2,0,0,1,1,1,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.82625,2.6146213653087615
4,0,2,0,1,1,0,2,0,1,1,0,2,0,0,0,0,0,1,1,1,0,-1,69.55125,3.374904356241226
2,1,0,1,0,1,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.3925,2.2327292585372924
4,1,0,1,0,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,-1,74.31875000000001,2.839701058626175
4,1,0,0,0,0,1,2,1,1,0,1,0,0,1,0,1,2,1,1,1,1,-1,73.905,3.0683126397132874
4,0,2,1,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,1,1,-1,68.3725,2.3286951599121095
4,0,2,1,0,0,0,2,1,0,0,1,0,1,0,1,1,1,0,0,1,0,-1,70.5925,2.5163182079792024
4,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,-1,71.19999999999999,2.7350294649600984
2,1,0,1,0,1,0,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.40875,2.238605100393295
4,0,2,1,0,0,1,0,0,0,1,0,1,0,1,0,1,2,1,0,0,0,-1,69.84875,2.3506156976222994
2,1,0,0,0,0,1,2,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.70750000000001,2.519121399641037
2,0,0,1,1,0,1,2,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.83875,2.001318021297455
2,0,2,1,1,1,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.74,2.6190535106658936
4,0,2,1,1,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0,1,0,-1,70.64125000000001,2.5354982964992523
4,0,0,0,1,1,0,2,0,0,1,1,1,0,0,1,1,0,0,0,0,0,-1,69.99875,2.8406497492790224
4,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,-1,68.95625000000001,2.7256484673023222
4,1,1,1,0,0,0,2,1,1,0,1,1,1,1,1,0,2,1,1,1,0,-1,73.06,3.5632480623722076
4,1,0,1,0,1,1,1,0,1,0,0,2,0,0,0,0,1,0,0,1,1,-1,72.7,2.911300128698349
4,0,2,1,0,1,1,2,1,1,1,1,0,0,1,0,1,0,1,1,1,1,-1,71.79875,3.16786646938324
2,1,2,1,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.8075,2.5042404139041903
4,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,-1,74.715,3.859382915496826
4,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,-1,73.2225,3.352616460561752
4,0,2,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,-1,71.14874999999999,3.1495176503658295
4,0,1,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,0,1,1,0,-1,69.71125,2.8584598300457
4,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,-1,71.09125,2.5936172857284547
4,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,-1,72.7925,3.6292764782905578
2,1,2,1,1,1,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.005,2.9645587768554686
2,1,1,1,0,1,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.93124999999999,2.691966307878494
2,1,1,0,0,1,0,2,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.525,2.3520386781692504
2,0,1,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.63,1.9753080332279205
4,1,1,1,1,0,1,1,0,1,0,0,2,0,1,0,1,2,1,0,1,0,-1,73.12125,2.7786535410881044
4,1,1,1,0,1,0,2,1,0,1,0,0,1,0,0,1,0,0,1,0,1,-1,73.39625000000001,2.9788751010894776
4,0,2,1,1,0,1,0,1,1,1,1,0,1,1,1,1,2,1,0,0,0,-1,70.62375,3.024500719308853
4,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,-1,74.70875000000001,3.1989462287425994
4,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,2,1,0,0,1,-1,73.69624999999999,3.989190810918808
4,1,2,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,-1,73.21875,3.512743039369583
2,0,0,1,0,1,0,2,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.97624999999999,2.1641318490505217
2,0,2,1,0,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.12875000000001,1.8285124888420106
4,0,1,0,1,1,0,1,1,0,0,0,2,1,1,0,0,0,1,1,0,0,-1,70.19875,2.590977630138397
2,1,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.825,2.199055145025253
2,0,0,1,1,0,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.075,1.984530437231064
4,0,0,1,0,1,1,1,0,1,0,1,2,1,1,1,0,1,0,0,1,1,-1,71.50375,2.9135595860481263
2,0,2,1,0,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.21875,2.1526206040382387
2,1,1,1,0,0,0,2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.45,2.5024743564128875
4,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,-1,73.24125,2.8146493277549745
2,0,0,0,1,1,0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.675,2.1865175037384033
2,0,1,0,0,0,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.545,2.1974721653461455
2,1,2,1,0,1,0,2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.97125,2.641403328895569
4,1,2,1,0,0,1,1,1,1,0,0,2,1,1,1,1,1,0,0,1,1,-1,74.3625,3.2293949778079987
2,1,0,1,0,1,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.38250000000001,2.412845885515213
4,1,0,1,0,0,1,2,1,1,0,0,1,0,0,0,1,0,1,1,1,1,-1,73.9925,3.082669693470001
2,1,1,0,0,0,1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.85249999999999,2.4501870980262757
4,0,1,0,1,0,0,2,0,0,0,0,2,1,1,1,0,2,1,1,0,0,-1,70.53375,2.563961552143097
2,0,2,1,1,0,0,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.245,1.9597829461097718
2,1,1,1,0,0,1,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.14,2.213802067041397
4,1,0,1,1,0,0,2,0,1,0,0,1,1,1,0,1,0,0,1,0,0,-1,73.295,2.602993522167206
2,1,0,0,1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.465,2.945990084886551
2,0,2,0,0,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.865,1.9803765816688537
4,1,1,0,1,0,0,2,1,0,0,1,2,0,1,0,1,1,1,1,1,0,-1,72.49875,3.0691080181598664
2,1,0,1,0,0,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.1025,2.075253898382187
4,0,2,1,0,1,0,2,1,0,0,1,0,0,1,1,1,0,1,1,0,0,-1,70.435,2.802547726392746
2,0,1,0,1,1,1,2,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56.08375000000001,2.3618246574401853
2,0,1,1,1,0,1,2,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.942499999999995,1.8258364980220794
4,0,0,1,0,0,0,0,1,1,1,0,2,0,1,1,0,2,0,1,1,0,-1,71.525,3.398719039440155
2,1,2,0,1,1,1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.26125,2.9656680989265443
4,0,1,0,0,1,0,0,0,1,1,1,2,0,0,0,1,2,0,1,1,1,-1,71.05875,3.0940782718658446
2,0,2,1,0,1,1,2,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.94375,2.1508852951526642
4,1,2,0,1,0,1,1,1,1,1,1,2,1,0,1,0,1,1,0,1,1,-1,72.86125,3.4416225233078004
2,1,1,0,1,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.25999999999999,2.5120143234729766
2,0,2,1,1,1,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.325,2.372673254966736
2,0,1,0,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.2025,1.9941682231426239
4,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,2,0,0,1,0,-1,69.2525,2.445544070720673
2,1,1,0,0,0,1,1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.8475,2.199897022485733
2,0,0,0,0,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.65125,1.971389657497406
4,1,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,1,1,1,0,-1,73.085,3.2738012149333953
2,0,1,1,1,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.03375,2.2353254764080046
2,1,0,1,1,1,1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.53375,2.53400838136673
2,0,1,0,0,0,1,2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.66499999999999,2.218139843225479
4,0,0,0,1,0,1,1,1,1,1,0,2,1,0,1,0,1,1,0,0,1,-1,71.5575,2.7384611229896545
4,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,-1,71.8525,3.010267271757126
4,1,1,1,1,0,1,1,1,0,1,0,2,1,0,0,1,2,1,1,0,0,-1,73.37875,2.847132565498352
4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,-1,70.60749999999999,2.347080736875534
2,1,1,1,0,1,0,2,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.6225,2.701626314878464
4,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,-1,70.3675,2.59354252910614
2,1,1,0,0,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.40375,2.6674721517562867
2,0,2,1,1,1,0,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.82625,2.2411783401966097
4,1,1,0,0,1,0,0,1,0,1,0,2,1,1,0,0,0,1,0,1,1,-1,72.575,3.1395405638217926
2,1,1,1,1,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.50375,2.534724408864975
4,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,-1,73.3425,3.1376584348678587
2,0,2,1,1,0,1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.0425,1.9759416055679322
2,0,1,1,0,0,1,2,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.67,1.837844101190567
4,1,2,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,-1,73.15625,3.8802894985675813
4,1,0,1,1,1,0,1,0,1,1,1,2,0,1,1,1,2,1,0,1,0,-1,72.69375,4.1715358350276945
2,1,2,1,0,0,0,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.85125,2.0620083136558534
4,1,1,1,0,0,0,2,1,1,1,1,2,1,0,0,0,0,0,0,1,1,-1,72.72875,3.292477859020233
2,1,2,0,0,1,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.49125,2.1801146352291108
4,1,2,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,-1,73.20125,3.6873453469276427
2,1,2,1,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.17374999999998,2.5074116129875184
4,0,0,1,1,1,0,2,1,0,0,0,2,0,1,1,1,2,0,0,1,0,-1,71.32625,3.167220791101456
4,1,2,1,1,0,0,2,1,1,0,1,2,1,1,1,0,0,0,0,1,1,-1,74.50625,3.249581448316574
4,0,2,0,0,0,1,2,0,1,0,0,0,1,1,1,1,0,1,1,0,0,-1,71.1175,2.590520524740219
4,1,0,1,0,1,1,0,0,0,1,1,2,1,1,0,0,1,0,1,1,1,-1,71.935,3.4029748234748842
2,1,1,1,1,1,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.84,2.5050367748737337
2,0,1,0,0,0,0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.35625,1.9417138454914094
2,0,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.405,1.9833303601741792
2,0,2,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.27375,1.7832556960582733
4,1,2,1,1,0,0,2,0,1,0,1,0,1,1,1,0,0,0,1,0,0,-1,73.50375,3.070931324958801
4,0,0,0,1,0,0,2,0,1,1,0,1,0,1,0,1,2,1,1,1,1,-1,70.0225,2.935280433177948
2,0,0,1,0,1,1,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.375,1.988917132616043
4,0,2,0,1,1,1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,-1,70.86125,2.712159869670868
4,0,1,0,0,0,1,2,1,0,0,0,2,1,1,0,1,0,0,0,1,0,-1,67.97250000000001,2.305728255271912
2,1,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.31125,2.0302471606731416
4,0,0,1,0,1,1,1,0,1,0,0,2,1,1,0,0,2,1,0,1,0,-1,70.01,2.5037431478500367
4,0,2,0,1,0,1,1,0,1,1,0,0,1,0,0,1,2,1,0,0,0,-1,70.5875,2.5798886284828186
4,1,2,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,-1,72.85500000000002,3.1294592843055726
4,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,-1,70.41625,3.3232560484409333
2,0,2,1,0,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.76750000000001,1.860128968477249
4,1,2,0,1,0,1,1,0,1,1,1,2,0,1,1,1,2,1,1,1,1,-1,73.4325,3.952835285425186
2,0,1,0,0,1,0,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.28375,2.008752313375473
4,1,0,1,1,0,0,0,0,0,1,0,2,0,0,1,1,1,1,0,1,1,-1,72.75625,3.1453913087844847
4,1,2,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,-1,72.72375000000001,3.0788921344280245
2,1,0,1,1,1,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.11,2.690592528343201
2,0,2,1,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.90125,1.8415082726478578
